year	hhid	region	zones	woreda	ea	total_valuefert	total_qty_w	real_tpricefert_cens_mrk	formal_credit	informal_credit	ext_acess	ag_rainy_13	filter	num_mem	weight	hh_headage	femhead	attend_sch	mrk_dist_w	worker	safety_net	soil_qty_rev2	hh_s6bq04	hh_s6aq02	asset	hhasset_value	hhasset_value_w	real_hhvalue	land_holding	median_mrk	median_price	median_age	median_soil	ag_rainy_15	ag_rainy_18	mrk_dist	s5bq02	s5bq09	ag_rainy_21	s7q02	s7q04
2013	010103010100106076	1	1	3	10103009837056	0	0	15	0	1	0	1	Matched (3)	5	1170.740234375	47	1	0	15	1	1	2	797	146	Matched (3)	943	943	943	.093558401	8	15	46	2								
2013	010103010100106112	1	1	3	10103009837056	0	0	15	0	0	0	1	Matched (3)	3	1170.740234375	76	0	0	15	2	1	2	10769	456	Matched (3)	11225	11225	11225	.65247142	8	15	46	2								
2013	010103010100106136	1	1	3	10103009837056	740	50	15	1	0	1	1	Matched (3)	9	1170.740234375	72	0	0	15	5	1	3	3080	170	Matched (3)	3250	3250	3250	.43701679	8	15	46	2								
2013	010103088801804004	1	1	3	10103088480256	1169	79	15	0	1	1	1	Matched (3)	4	3461.03173828125	43	0	0	15	2	1	2	719	1	Matched (3)	720	720	720	.83104002	8	15	46	2								
2013	010103088801804019	1	1	3	10103088480256	356	24	15	0	1	1	1	Matched (3)	5	3461.03173828125	77	0	0	15	0	0	2	91	2	Matched (3)	93	93	93	1.070295	8	15	46	2								
2013	010103088801804034	1	1	3	10103088480256	768	52	15	0	1	1	1	Matched (3)	4	3461.03173828125	71	1	0	15	2	1	2	2110	16	Matched (3)	2126	2126	2126	.77344102	8	15	46	2								
2013	010103088801804049	1	1	3	10103088480256	728	52	15	0	1	1	1	Matched (3)	2	3461.03173828125	43	1	0	15	1	1	3	236	7	Matched (3)	243	243	243	.597085	8	15	46	2								
2013	010103088801804069	1	1	3	10103088480256	740	50	15	0	1	1	1	Matched (3)	3	3461.03173828125	43	1	0	15	2	0	2	32	1	Matched (3)	33	93	93	.34542	8	15	46	2								
2013	010103088801804085	1	1	3	10103088480256	770	52	15	0	1	1	1	Matched (3)	6	3461.03173828125	43	0	1	15	2	0	3	1488	30	Matched (3)	1518	1518	1518	1.6780061	8	15	46	2								
2013	010103088801804100	1	1	3	10103088480256	740	50	15	0	1	1	1	Matched (3)	5	3461.03173828125	62	1	0	15	4	1	3	3110	36	Matched (3)	3146	3146	3146	1.4028885	8	15	46	2								
2013	010103088801804115	1	1	3	10103088480256	0	0	15	0	1	1	1	Matched (3)	6	3461.03173828125	43	1	0	15	2	0	2	731	12	Matched (3)	743	743	743	1.40715	8	15	46	2								
2013	010103088801804130	1	1	3	10103088480256	799	54	15	0	0	1	1	Matched (3)	10	3461.03173828125	51	0	0	15	3	1	3	1545	18	Matched (3)	1563	1563	1563	2.1849499	8	15	46	2								
2013	010103088801804145	1	1	3	10103088480256	830	56	15	0	1	1	1	Matched (3)	9	3461.03173828125	55	0	1	15	4	1	2	1209	17	Matched (3)	1226	1226	1226	1.9011918	8	15	46	2								
2013	010105088800204001	1	1	5	10105089163264	2	30	15	0	0	1	1	Matched (3)	4	3178.43115234375	43	0	0	6.5	2	0	2	430	25	Matched (3)	455	455	455	.83866501	8	15	46	2								
2013	010105088800204049	1	1	5	10105089163264	840	50	18	0	0	1	1	Matched (3)	7	3178.43115234375	43	0	1	6.5	3	0	2	2319	188	Matched (3)	2507	2507	2507	2.1491001	8	15	46	2								
2013	010105088800204073	1	1	5	10105089163264	780	50	18	0	0	1	1	Matched (3)	4	3178.43115234375	43	0	1	6.5	2	0	2	4085	106	Matched (3)	4191	4191	4191	1.12435	8	15	46	2								
2013	010105088800204097	1	1	5	10105089163264	1500	100	15	0	0	1	1	Matched (3)	4	3178.43115234375	43	0	1	6.5	2	0	2	2201	171	Matched (3)	2372	2372	2372	1.626322	8	15	46	2								
2013	010105088800204121	1	1	5	10105089163264	1165	75	18.125	0	0	1	1	Matched (3)	4	3178.43115234375	43	0	0	6.5	2	0	2	817	50	Matched (3)	867	867	867	1.9289	8	15	46	2								
2013	010105088800204145	1	1	5	10105089163264	375	25	15	0	0	1	1	Matched (3)	4	3178.43115234375	43	0	1	6.5	2	0	2	1100	105	Matched (3)	1205	1205	1205	.58195496	8	15	46	2								
2013	010105088800204169	1	1	5	10105089163264	750	50	15	0	0	1	1	Matched (3)	3	3178.43115234375	43	0	1	6.5	2	0	2	1290	37	Matched (3)	1327	1327	1327	1.3999801	8	15	46	2								
2013	010105088800204193	1	1	5	10105089163264	0	0	15	0	0	0	1	Matched (3)	5	3178.43115234375	64	0	0	6.5	5	0	2	3832	121	Matched (3)	3953	3953	3953	1.72998	8	15	46	2								
2013	010105088800204217	1	1	5	10105089163264	750	50	18.75	0	0	1	1	Matched (3)	6	3178.43115234375	43	0	0	6.5	2	0	2	1475	32	Matched (3)	1507	1507	1507	1.745505	8	15	46	2								
2013	010106088800402002	1	1	6	10106088456192	1480	100	15	0	1	1	1	Matched (3)	3	2831.26953125	43	1	0	5	3	0	2	617	3	Matched (3)	620	620	620	.68382502	8	15	46	2								
2013	010106088800402014	1	1	6	10106088456192	384	26	15	0	0	1	1	Matched (3)	1	223.5212707519531	40	1	0	5	1	0	3	360	8	Matched (3)	368	368	368	.161805	8	15	46	2								
2013	010106088800402021	1	1	6	10106088456192	2960	200	15	0	1	1	1	Matched (3)	8	2831.26953125	46	0	0	5	4	0	2	6410	29	Matched (3)	6439	6439	6439	1.5294082	8	15	46	2								
2013	010106088800402039	1	1	6	10106088456192	1480	100	15	0	0	1	1	Matched (3)	8	2831.26953125	43	0	1	5	2	0	2	1138	15	Matched (3)	1153	1153	1153	1.3608083	8	15	46	2								
2013	010106088800402057	1	1	6	10106088456192	1480	100	15	0	1	1	1	Matched (3)	5	2831.26953125	53	0	0	5	2	0	2	1506	29	Matched (3)	1535	1535	1535	1.8835764	8	15	46	2								
2013	010106088800402075	1	1	6	10106088456192	740	50	15	0	1	1	1	Matched (3)	7	2831.26953125	46	0	0	5	3	1	2	738	19	Matched (3)	757	757	757	.94275999	8	15	46	2								
2013	010106088800402094	1	1	6	10106088456192	740	50	15	0	0	1	1	Matched (3)	7	2831.26953125	55	0	0	5	2	0	2	980	18	Matched (3)	998	998	998	.60202998	8	15	46	2								
2013	010106088800402112	1	1	6	10106088456192	1480	100	15	0	1	1	1	Matched (3)	8	2831.26953125	46	0	0	5	4	0	2	1450	32	Matched (3)	1482	1482	1482	.94571	8	15	46	2								
2013	010106088800402130	1	1	6	10106088456192	2220	150	15	0	0	1	1	Matched (3)	5	2831.26953125	60	0	0	5	4	0	2	4930	36	Matched (3)	4966	4966	4966	2.4276745	8	15	46	2								
2013	010106088800402148	1	1	6	10106088456192	0	0	15	0	0	0	1	Matched (3)	9	2831.26953125	51	0	0	5	5	0	2	3413	17	Matched (3)	3430	3430	3430	1.1956679	8	15	46	2								
2013	010106088800402160	1	1	6	10106088456192	0	0	15	0	0	0	1	Matched (3)	5	223.5212707519531	60	1	0	5	3	1	2	222	17	Matched (3)	239	239	239	.42335421	8	15	46	2								
2013	010106088800402167	1	1	6	10106088456192	0	0	15	0	0	0	1	Matched (3)	2	2831.26953125	60	1	0	5	1	0	2	362	16	Matched (3)	378	378	378	.095140003	8	15	46	2								
2013	010107010100116150	1	1	7	10107010154496	0	0	15	0	0	0	1	Matched (3)	1	3482.377197265625	71	0	0	6.5	0	1	2	2266	19	Matched (3)	2285	2285	2285	3	8	15	46	2								
2013	010201088800207002	1	2	1	10201088393216	0	0	15	0	1	0	1	Matched (3)	5	3083.032958984375	66	0	1	21	2	1	2	2567	32	Matched (3)	2599	2599	2599	1.251785	8	15	46	2								
2013	010201088800207017	1	2	1	10201088393216	272	20	15	0	0	1	1	Matched (3)	7	3083.032958984375	44	0	0	21	2	1	2	2165	55	Matched (3)	2220	2220	2220	.65201503	8	15	46	2								
2013	010201088800207027	1	2	1	10201088393216	785	50	15.714286	0	0	1	1	Matched (3)	8	3083.032958984375	48	0	1	21	4	0	3	2164	211	Matched (3)	2375	2375	2375	1.0295891	8	15	46	2								
2013	010201088800207047	1	2	1	10201088393216	0	0	15	1	0	0	1	Matched (3)	7	3083.032958984375	53	0	0	21	3	1	2	745	14	Matched (3)	759	759	759	1.3123211	8	15	46	2								
2013	010201088800207062	1	2	1	10201088393216	0	0	15	0	0	0	1	Matched (3)	2	3083.032958984375	78	0	0	21	1	1	2	272	36	Matched (3)	308	308	308	.63564301	8	15	46	2								
2013	010201088800207092	1	2	1	10201088393216	96	12	15	0	0	1	1	Matched (3)	6	3083.032958984375	67	0	0	21	3	0	3	5135	85	Matched (3)	5220	5220	5220	2.6230547	8	15	46	2								
2013	010201088800207107	1	2	1	10201088393216	340	25	15	0	0	1	1	Matched (3)	9	3083.032958984375	79	0	0	21	6	1	3	1045	23	Matched (3)	1068	1068	1068	1.08717	8	15	46	2								
2013	010201088800207122	1	2	1	10201088393216	340	25	15	0	0	1	1	Matched (3)	4	3083.032958984375	44	0	1	21	2	0	3	205	6	Matched (3)	211	211	211	1.156865	8	15	46	2								
2013	010201088800207137	1	2	1	10201088393216	0	0	15	1	0	0	1	Matched (3)	4	3083.032958984375	44	0	0	21	2	1	1	1113	47	Matched (3)	1160	1160	1160	.60450935	8	15	46	2								
2013	010202020100107047	1	2	2	10202020577280	796	50	15.923077	1	0	1	1	Matched (3)	8	1643.14990234375	42	0	0	21	2	1	1	12995	290	Matched (3)	13285	13285	13285	.36431581	8	15	46	2								
2013	010202088800802002	1	2	2	10202088734720	1005	73	14.875	0	1	1	1	Matched (3)	5	2978.087158203125	70	1	0	21	2	0	2	1425	21	Matched (3)	1446	1446	1446	.82056999	8	15	46	2								
2013	010202088800802017	1	2	2	10202088734720	1501	100	15.625	0	1	1	1	Matched (3)	8	2978.087158203125	42	0	0	21	3	1	2	1635	29	Matched (3)	1664	1664	1664	1.3377301	8	15	46	2								
2013	010202088800802033	1	2	2	10202088734720	702	50	14.8	0	1	1	1	Matched (3)	6	2978.087158203125	42	0	0	21	2	0	2	1735	28	Matched (3)	1763	1763	1763	1.10821	8	15	46	2								
2013	010202088800802048	1	2	2	10202088734720	1412	100	14.8	0	1	1	1	Matched (3)	4	2978.087158203125	42	0	1	21	2	1	2	5220	57	Matched (3)	5277	5277	5277	.45574	8	15	46	2								
2013	010202088800802063	1	2	2	10202088734720	1408	100	14.8	0	1	1	1	Matched (3)	7	2978.087158203125	50	0	0	21	5	0	2	3840	34	Matched (3)	3874	3874	3874	.95024002	8	15	46	2								
2013	010202088800802078	1	2	2	10202088734720	1500	100	15	0	1	1	1	Matched (3)	9	2978.087158203125	52	0	0	21	4	0	2	1198	36	Matched (3)	1234	1234	1234	1.19523	8	15	46	2								
2013	010202088800802108	1	2	2	10202088734720	1414	100	14.8	0	1	1	1	Matched (3)	6	2978.087158203125	69	0	0	21	5	1	2	3970	108	Matched (3)	4078	4078	4078	1.4369401	8	15	46	2								
2013	010202088800802124	1	2	2	10202088734720	1707	125	14.8	0	1	1	1	Matched (3)	8	2978.087158203125	48	0	0	21	4	1	2	1810	95	Matched (3)	1905	1905	1905	.89434999	8	15	46	2								
2013	010202088800802139	1	2	2	10202088734720	0	0	14.8	0	0	0	1	Matched (3)	3	2978.087158203125	42	1	0	21	1	0	2	532	19	Matched (3)	551	551	551	.38716	8	15	46	2								
2013	010202088800802180	1	2	2	10202088734720	414	26	15.923077	0	0	1	1	Matched (3)	1		46	0	0	8	0	0	3				0	93	93	.1464386	8	15	46	2								
2013	010203088801001002	1	2	3	10203089076224	610	40	15.4	0	0	1	1	Matched (3)	8	3220.993896484375	56	0	1	14	4	0	2	3610	62	Matched (3)	3672	3672	3672	.96061003	8	15	46	2								
2013	010203088801001017	1	2	3	10203089076224	349	25	14.078462	0	0	1	1	Matched (3)	2	3220.993896484375	44	1	1	14	1	1	3	834	113	Matched (3)	947	947	947	.42359	8	15	46	2								
2013	010203088801001032	1	2	3	10203089076224	0	0	14.078462	0	0	0	1	Matched (3)	2	3220.993896484375	44	1	0	14	1	1	2	745	18	Matched (3)	763	763	763	.69943297	8	15	46	2								
2013	010203088801001047	1	2	3	10203089076224	696	50	14.078462	0	0	1	1	Matched (3)	8	3220.993896484375	44	0	1	14	4	0	2	4715	168	Matched (3)	4883	4883	4883	.8903386	8	15	46	2								
2013	010203088801001062	1	2	3	10203089076224	855	56	15.333333	0	0	1	1	Matched (3)	11	3220.993896484375	59	0	0	14	9	0	2	6941	271	Matched (3)	7212	7212	7212	.98747003	8	15	46	2								
2013	010203088801001095	1	2	3	10203089076224	0	0	14.078462	0	0	1	1	Matched (3)	1	3220.993896484375	68	1	0	14	0	1	2	575	20	Matched (3)	595	595	595	.26609001	8	15	46	2								
2013	010203088801001097	1	2	3	10203089076224	393	26	15.214286	0	0	1	1	Matched (3)	2	1121.232055664063	58	1	0	14	2	1	2	1829	47	Matched (3)	1876	1876	1876	.22816001	8	15	46	2								
2013	010203088801001111	1	2	3	10203089076224	1128	74	15.25	0	0	1	1	Matched (3)	10	3220.993896484375	60	0	0	14	7	0	2	2903	270	Matched (3)	3173	3173	3173	.69304025	8	15	46	2								
2013	010203088801001128	1	2	3	10203089076224	612	40	15.3	0	0	1	1	Matched (3)	8	3220.993896484375	49	0	1	14	4	0	2	2205	46	Matched (3)	2251	2251	2251	.52906001	8	15	46	2								
2013	010203088801001145	1	2	3	10203089076224	761	50	15.3	0	0	1	1	Matched (3)	10	3220.993896484375	56	0	0	14	6	0	2	5183	129	Matched (3)	5312	5312	5312	.73422998	8	15	46	2								
2013	010203088801001152	1	2	3	10203089076224	0	0	14.078462	0	0	0	1	Matched (3)	1	1121.232055664063	71	1	0	14	0	1	2	345	21	Matched (3)	366	366	366	.2813879	8	15	46	2								
2013	010204088801702002	1	2	4	10204088369152	1422	100	15.8	0	0	1	1	Matched (3)	6	3819.716552734375	44	0	1	26	2	0	3	3717	38	Matched (3)	3755	3755	3755	.55200619	8	15	46	2								
2013	010204088801702018	1	2	4	10204088369152	986	75	14.428572	0	0	1	1	Matched (3)	9	3819.716552734375	54	0	1	26	5	1	3	1974	102	Matched (3)	2076	2076	2076	.73123622	8	15	46	2								
2013	010204088801702033	1	2	4	10204088369152	1420	100	14.2	0	0	1	1	Matched (3)	8	3819.716552734375	45	0	1	26	5	0	2	6224	69	Matched (3)	6293	6293	6293	.63681102	8	15	46	2								
